County, Republican Margin 2004 , Democrat Margin 2004 , Republican Registration 2004 , Democrat Registration 2004, Total Registration2004 , Republican Margin 2008,Democrat Margin 2008,Republican Registration 2008, Democrat Registration 2008 , Total Registration 2008 , Republican Margin  2012,Democrat Margin 2012, Republican Registration 2012, Democrat Registration  2012, Total Registration 2012, Republican Margin 2016, Democrat Margin 2016, Republican Registration 2016, Democrat Registration 2016, Total Registration  2016,Republican Margin 2020,Democrat Margin 2020,Republican Registration 2020 ,Democrat Registration 2020,Total Registration 2020
Gilpin,0.42,0.57,1250.00,1302.00,4435.00,0.38,0.59,1266.00,1550.00,4843.00,0.40,0.57,979.00,1200.00,3630.00,0.44,0.46,1142.00,1239.00,4175.00,0.44,0.53,1173.00,1312.00,4815.00
Grand,0.56,0.43,5128.00,2424.00,11447.00,0.50,0.49,4747.00,2627.00,11115.00,0.52,0.45,3909.00,1981.00,8624.00,0.52,0.39,4293.00,2326.00,10354.00,0.49,0.48,4085.00,2457.00,11584.00
Gunnison,0.41,0.57,4021.00,3717.00,12804.00,0.35,0.63,3397.00,3801.00,12339.00,0.39,0.58,2488.00,2687.00,8792.00,0.35,0.54,2805.00,3563.00,11020.00,0.33,0.64,2741.00,3944.00,12397.00
Hinsdale,0.59,0.39,481.00,150.00,771.00,0.57,0.40,462.00,137.00,736.00,0.59,0.38,417.00,102.00,664.00,0.58,0.33,415.00,111.00,681.00,0.56,0.40,373.00,94.00,699.00
Huerfano,0.50,0.49,1180.00,2873.00,4921.00,0.43,0.55,1157.00,2630.00,4846.00,0.44,0.53,1022.00,1933.00,3920.00,0.50,0.43,1211.00,2027.00,4422.00,0.50,0.47,1365.00,1838.00,5137.00
Jackson,0.76,0.22,858.00,178.00,1285.00,0.68,0.30,894.00,175.00,1318.00,0.71,0.26,689.00,125.00,938.00,0.73,0.20,676.00,117.00,982.00,0.78,0.20,636.00,90.00,998.00
Jefferson,0.52,0.47,143609.00,110517.00,377607.00,0.45,0.54,127255.00,118344.00,371342.00,0.46,0.51,110061.00,101386.00,325897.00,0.42,0.49,116701.00,116799.00,379890.00,0.39,0.58,108283.00,126388.00,422973.00
Kiowa,0.80,0.19,561.00,349.00,1179.00,0.76,0.21,572.00,226.00,1017.00,0.83,0.14,512.00,170.00,889.00,0.85,0.11,564.00,144.00,936.00,0.88,0.11,595.00,94.00,996.00
Kit Carson,0.78,0.21,2786.00,1002.00,5161.00,0.71,0.27,2562.00,858.00,4638.00,0.75,0.23,2300.00,613.00,3885.00,0.80,0.14,2532.00,580.00,4333.00,0.81,0.17,2582.00,480.00,4538.00
Lake,0.46,0.53,1055.00,2105.00,4630.00,0.41,0.57,11804.00,12310.00,37340.00,0.44,0.53,9895.00,9962.00,30523.00,0.40,0.50,11087.00,12138.00,36347.00,0.40,0.58,11013.00,12512.00,41146.00
La Plata,0.43,0.55,12356.00,10736.00,36052.00,0.36,0.62,896.00,2143.00,4455.00,0.36,0.61,683.00,1620.00,3335.00,0.40,0.51,774.00,1835.00,3942.00,0.38,0.58,820.00,1762.00,4755.00
Larimer,0.52,0.47,78602.00,52757.00,201341.00,0.44,0.54,74451.00,60381.00,210859.00,0.46,0.52,66124.00,53258.00,194542.00,0.43,0.48,72047.00,63645.00,225205.00,0.41,0.56,70026.00,69535.00,251855.00
Las Animas,0.49,0.50,2230.00,5352.00,9258.00,0.46,0.53,2252.00,5095.00,9280.00,0.48,0.50,1887.00,3931.00,7363.00,0.55,0.39,2210.00,3937.00,8376.00,0.54,0.44,2665.00,3655.00,9821.00
