Oregon Statewide,Democrat Margin (%),Republican Margin(%),Registered Democrats,Registered Republicans,Total Registered Voters
2004.00,51.35,47.19,820602.00,757844.00,2120347.00
2008.00,56.75,40.40,929741.00,695677.00,2153914.00
2012.00,54.24,42.15,872361.00,684858.00,2199360.00
2016.00,50.07,39.09,980490.00,711579.00,2553806.00
2020.00,56.45,40.37,1050663.00,761678.00,2946201.00
