North Carolina Statewide,Democrat Margin (%),Republican Margin(%),Registered Democrats,Registered Republicans,Total Registered Voters
2004.00,43.58,56.02,2408759.00,1750359.00,5079830.00
2008.00,49.70,49.38,2866669.00,2002416.00,6264733.00
2012.00,48.35,50.39,2861950.00,2047916.00,6631904.00
2016.00,46.17,49.83,2733188.00,2086942.00,6918150.00
2020.00,48.59,49.93,2623000.00,2231586.00,7361219.00
