Pennslyvania Statewide,Democrat Margin (%),Republican Margin(%),Registered Democrats,Registered Republicans,Total Registered Voters
2004.00,50.92,48.42,3985486.00,3405278.00,8366663.00
2008.00,54.47,44.15,4479513.00,3243046.00,8755588.00
2012.00,51.97,46.59,4266317.00,3131144.00,8508015.00
2016.00,47.46,48.18,4217456.00,3301182.00,8722977.00
2020.00,50.01,48.84,4228888.00,3543070.00,9090962.00
