Arizona Statewide,Democrat Margin (%),Republican Margin(%),Registered Democrats,Registered Republicans,Total Registered Voters
2004.00,44.32,54.77,914264.00,1055252.00,2643331.00
2008.00,44.91,53.39,1022252.00,1118587.00,2987451.00
2012.00,44.59,53.65,952931.00,1120992.00,3124712.00
2016.00,44.58,48.08,1091323.00,1239614.00,3588466.00
2020.00,49.36,49.06,1378324.00,1508778.00,4281152.00
