Colorado Statewide,Democrat Margin (%),Republican Margin(%),Registered Democrats,Registered Republicans,Total Registered Voters
2004.00,47.02,51.69,942025.00,1118597.00,3097861.00
2008.00,53.66,44.71,1056077.00,1065150.00,3210249.00
2012.00,51.49,46.13,887470.00,925785.00,2749246.00
2016.00,48.16,43.25,1040948.00,1031512.00,3273112.00
2020.00,55.40,41.90,1129733.00,1028239.00,3767236.00
