Florida Statewide, Democratic Votes, Republican Votes,Democrat Margin (%),Republican Margin(%),Registered Democrats,Registered Republicans,Total Registered Voters
2004,3583544,3964522,47.09,52.1,4322376,3954492,10476437
2008,4282074,4045624,50.91,48.1,4800890,4106743,11411923
2012,4237756,4163447,50.01,49.13,4821859,4263587,12038571
2016,4504975,4617886,47.82,49.02,4905705,4575277,12959185
2020,5297045,5668731,47.86,51.22,5315954,5218739,14565738
